Abbreviation,Description
ACC,Afghan Citizen Card
ARC,Alien Registration Card
BISP,Benazir Income Support Program
CBRC,Computerized Birth Registration Certificate
CNIC,Computerized National Identity Card
CRC,Child Registration Certificate
CSE,Customer Service Executive
DAU,Data Acquisition Unit
DEE,Data Entry Executive
DG I\&P,Directorate General of Immigration and Passport
e-KYC,electronic Know Your Customer
ETO,Excise and Taxation Officer
FIA,Federal Investigation Agency
FRC,Family Registration Certificate
GDPR,General Data Protection Regulation
HOF,Head of Family
ICAO,International Civil Aviation Organization
IMPASS,Immigration and Passport Services
ISO,International Organization for Standardization
IVR,Interactive Voice Response
MOFA,Ministry of Foreign Affairs
MOI,Ministry of Interior
MRV,Mobile Registration Van
NDW,National Data Warehouse
NICOP,National Identity Card for Overseas Pakistanis
NID,National Identity Document
NIMS,National Immunization Management System
NRC,NADRA Registration Center
PCA,Pakistan Citizenship Act
PCO,Public Call Office
PIO,Public Information Officer
POA,Power of Attorney
POC,Pakistan Origin Card
POE,Proof of Evidence
POR,Proof of Registration
PWD,Person with Disabilities
RCMS,Readmission Case Management System
SDG,Sustainable Development Goals
SESSI,Sindh Employee Social Security Institute
SI,System Independent
SIEM,Security Information and Event Management
SMS,Short Message Service
SNIC,Smart National Identity Card
SOAR,Security Orchestration and Automated Response
SOC,Security Operations Center
UNHCR,United Nations High Commissioner for Refugees
VRA,Voluntary Repatriation Agreement
